date,tournament,level,bestOf,surface,indoor,speed,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_entry,outcome,winner_entry
2019-05-13,Rome Masters,M,3,C,false,47,SF,Rafael Nadal,2,Spain,ESP,2,5,2360,Stefanos Tsitsipas,8,Greece,GRE,7,-5,2151,6-3 6-4,,,
2019-05-13,Rome Masters,M,3,C,false,47,QF,Stefanos Tsitsipas,8,Greece,GRE,7,8,2143,Roger Federer,3,Switzerland,SUI,3,-8,2362,W/O,,W/O,
2019-05-13,Rome Masters,M,3,C,false,47,R16,Stefanos Tsitsipas,8,Greece,GRE,7,8,2135,Fabio Fognini,10,Italy,ITA,12,-8,2069,6-4 6-3,,,
2019-05-13,Rome Masters,M,3,C,false,47,R32,Stefanos Tsitsipas,8,Greece,GRE,7,2,2133,Jannik Sinner,,Italy,ITA,263,-4,1735,6-3 6-2,WC,,
2019-05-06,Madrid Masters,M,3,C,false,53,F,Novak Djokovic,1,Serbia,SRB,1,4,2387,Stefanos Tsitsipas,8,Greece,GRE,9,-5,2138,6-3 6-4,,,
2019-05-06,Madrid Masters,M,3,C,false,53,SF,Stefanos Tsitsipas,8,Greece,GRE,9,18,2120,Rafael Nadal,2,Spain,ESP,2,-18,2372,6-4 2-6 6-3,,,
2019-05-06,Madrid Masters,M,3,C,false,53,QF,Stefanos Tsitsipas,8,Greece,GRE,9,12,2108,Alexander Zverev,3,Germany,GER,4,-11,2132,7-5 3-6 6-2,,,
2019-05-06,Madrid Masters,M,3,C,false,53,R16,Stefanos Tsitsipas,8,Greece,GRE,9,7,2101,Fernando Verdasco,,Spain,ESP,38,-7,1987,6-3 6-4,,,
2019-05-06,Madrid Masters,M,3,C,false,53,R32,Stefanos Tsitsipas,8,Greece,GRE,9,4,2097,Adrian Mannarino,,France,FRA,56,-6,1878,6-2 7-5,LL,,
2019-04-29,Estoril,B,3,C,false,27,F,Stefanos Tsitsipas,1,Greece,GRE,10,6,2091,Pablo Cuevas,,Uruguay,URU,67,-7,1937,6-3 7-6(4),LL,,
2019-04-29,Estoril,B,3,C,false,27,SF,Stefanos Tsitsipas,1,Greece,GRE,10,8,2083,David Goffin,4,Belgium,BEL,25,-8,2050,3-6 6-4 6-4,,,
2019-04-29,Estoril,B,3,C,false,27,QF,Stefanos Tsitsipas,1,Greece,GRE,10,3,2080,Joao Domingues,,Portugal,POR,214,-4,1769,7-6(3) 6-4,Q,,
2019-04-29,Estoril,B,3,C,false,27,R16,Stefanos Tsitsipas,1,Greece,GRE,10,2,2078,Guido Andreozzi,,Argentina,ARG,97,-5,1737,6-3 6-4,,,
2019-04-22,Barcelona,A,3,C,false,36,R16,Jan Lennard Struff,,Germany,GER,51,12,1969,Stefanos Tsitsipas,5,Greece,GRE,8,-12,2090,6-4 3-6 6-2,,,
2019-04-22,Barcelona,A,3,C,false,36,R32,Stefanos Tsitsipas,5,Greece,GRE,8,6,2084,Marton Fucsovics,,Hungary,HUN,36,-6,1961,6-3 6-4,,,
2019-04-15,Monte Carlo Masters,M,3,C,false,25,R16,Daniil Medvedev,10,Russian Federation,RUS,14,9,2121,Stefanos Tsitsipas,6,Greece,GRE,8,-9,2093,6-2 1-6 6-4,,,
2019-04-15,Monte Carlo Masters,M,3,C,false,25,R32,Stefanos Tsitsipas,6,Greece,GRE,8,6,2087,Mikhail Kukushkin,,Kazakhstan,KAZ,42,-6,1925,6-3 7-5,,,
2019-03-18,Miami Masters,M,3,H,false,57,R16,Denis Shapovalov,20,Canada,CAN,23,13,2002,Stefanos Tsitsipas,8,Greece,GRE,10,-13,2100,4-6 6-3 7-6(3),,,
2019-03-18,Miami Masters,M,3,H,false,57,R32,Stefanos Tsitsipas,8,Greece,GRE,10,4,2096,Leonardo Mayer,,Argentina,ARG,62,-5,1890,6-4 6-4,,,
2019-03-18,Miami Masters,M,3,H,false,57,R64,Stefanos Tsitsipas,8,Greece,GRE,10,5,2091,Mackenzie Mcdonald,,United States,USA,60,-5,1876,7-6(4) 6-1,LL,,
2019-03-04,Indian Wells Masters,M,3,H,false,45,R64,Felix Auger Aliassime,,Canada,CAN,58,21,1845,Stefanos Tsitsipas,9,Greece,GRE,10,-16,2107,6-4 6-2,,,WC
2019-02-25,Dubai,A,3,H,false,68,F,Roger Federer,2,Switzerland,SUI,7,4,2349,Stefanos Tsitsipas,5,Greece,GRE,11,-4,2111,6-4 6-4,,,
2019-02-25,Dubai,A,3,H,false,68,SF,Stefanos Tsitsipas,5,Greece,GRE,11,10,2101,Gael Monfils,,France,FRA,23,-10,2103,4-6 7-6(4) 7-6(4),,,
2019-02-25,Dubai,A,3,H,false,68,QF,Stefanos Tsitsipas,5,Greece,GRE,11,3,2098,Hubert Hurkacz,,Poland,POL,77,-5,1788,7-6(4) 6-7(1) 6-1,,,
2019-02-25,Dubai,A,3,H,false,68,R16,Stefanos Tsitsipas,5,Greece,GRE,11,3,2095,Egor Gerasimov,,Belarus,BLR,155,-4,1850,6-3 6-1,Q,,
2019-02-25,Dubai,A,3,H,false,68,R32,Stefanos Tsitsipas,5,Greece,GRE,11,4,2091,Matthew Ebden,,Australia,AUS,47,-5,1874,6-4 3-6 6-3,,,
2019-02-18,Marseille,B,3,H,true,86,F,Stefanos Tsitsipas,1,Greece,GRE,12,7,2084,Mikhail Kukushkin,,Kazakhstan,KAZ,50,-7,1951,7-5 7-6(5),,,
2019-02-18,Marseille,B,3,H,true,86,SF,Stefanos Tsitsipas,1,Greece,GRE,12,9,2075,David Goffin,3,Belgium,BEL,24,-10,2094,7-6(1) 6-2,,,
2019-02-18,Marseille,B,3,H,true,86,QF,Stefanos Tsitsipas,1,Greece,GRE,12,4,2071,Sergiy Stakhovsky,,Ukraine,UKR,141,-4,1824,6-4 6-3,LL,,
2019-02-18,Marseille,B,3,H,true,86,R16,Stefanos Tsitsipas,1,Greece,GRE,12,2,2069,Hubert Hurkacz,,Poland,POL,78,-4,1742,6-4 6-2,,,
2019-02-11,Rotterdam,A,3,H,true,56,R32,Damir Dzumhur,,Bosnia and Herzegovina,BIH,56,17,1877,Stefanos Tsitsipas,3,Greece,GRE,12,-14,2083,6-4 1-6 7-5,,,
2019-02-04,Sofia,B,3,H,true,76,QF,Gael Monfils,7,France,FRA,33,11,2034,Stefanos Tsitsipas,2,Greece,GRE,12,-10,2093,6-3 7-6(5),,,
2019-02-04,Sofia,B,3,H,true,76,R16,Stefanos Tsitsipas,2,Greece,GRE,12,5,2088,Jan Lennard Struff,,Germany,GER,51,-5,1930,7-6(5) 6-4,,,
2019-01-14,Australian Open,G,5,H,false,83,SF,Rafael Nadal,2,Spain,ESP,2,4,2415,Stefanos Tsitsipas,14,Greece,GRE,15,-4,2092,6-2 6-4 6-0,,,
2019-01-14,Australian Open,G,5,H,false,83,QF,Stefanos Tsitsipas,14,Greece,GRE,15,16,2076,Roberto Bautista Agut,22,Spain,ESP,24,-16,2138,7-5 4-6 6-4 7-6(2),,,
2019-01-14,Australian Open,G,5,H,false,83,R16,Stefanos Tsitsipas,14,Greece,GRE,15,23,2053,Roger Federer,3,Switzerland,SUI,3,-22,2361,6-7(11) 7-6(3) 7-5 7-6(5),,,
2019-01-14,Australian Open,G,5,H,false,83,R32,Stefanos Tsitsipas,14,Greece,GRE,15,12,2041,Nikoloz Basilashvili,19,Russian Federation,RUS,20,-12,1996,6-3 3-6 7-6(7) 6-4,,,
2019-01-14,Australian Open,G,5,H,false,83,R64,Stefanos Tsitsipas,14,Greece,GRE,15,7,2034,Viktor Troicki,,Serbia,SRB,200,-8,1862,6-3 2-6 6-2 7-5,Q,,
2019-01-14,Australian Open,G,5,H,false,83,R128,Stefanos Tsitsipas,14,Greece,GRE,15,7,2027,Matteo Berrettini,,Italy,ITA,54,-9,1866,6-7(3) 6-4 6-3 7-6(4),,,
2019-01-07,Sydney,B,3,H,false,65,QF,Andreas Seppi,8,Italy,ITA,37,14,1916,Stefanos Tsitsipas,1,Greece,GRE,15,-12,2039,4-6 6-4 6-4,,,
2019-01-07,Sydney,B,3,H,false,65,R16,Stefanos Tsitsipas,1,Greece,GRE,15,3,2036,Guido Andreozzi,,Argentina,ARG,80,-5,1741,6-3 6-4,LL,,
2018-11-05,Next Gen Finals,H,3,H,true,,F,Stefanos Tsitsipas,1,Greece,GRE,15,,,Alex De Minaur,2,Australia,AUS,31,,,2-4 4-1 4-3(3) 4-3(3) RET,,RET,
2018-11-05,Next Gen Finals,H,3,H,true,,SF,Stefanos Tsitsipas,1,Greece,GRE,15,,,Andrey Rublev,5,Russian Federation,RUS,68,,,4-3(3) 3-4(5) 4-0 2-4 4-3(2) RET,,RET,
2018-11-05,Next Gen Finals,H,3,H,true,,RR,Stefanos Tsitsipas,1,Greece,GRE,15,,,Frances Tiafoe,3,United States,USA,40,,,4-3(3) 4-3(5) 4-2 RET,,RET,
2018-11-05,Next Gen Finals,H,3,H,true,,RR,Stefanos Tsitsipas,1,Greece,GRE,15,,,Hubert Hurkacz,6,Poland,POL,85,,,4-1 4-3(2) 4-1 RET,,RET,
2018-11-05,Next Gen Finals,H,3,H,true,,RR,Stefanos Tsitsipas,1,Greece,GRE,15,,,Jaume Munar,7,Spain,ESP,76,,,4-3(5) 4-3(3) 3-4(4) 4-2 RET,,RET,
2018-10-29,Paris Masters,M,3,H,true,75,R32,Damir Dzumhur,,Bosnia and Herzegovina,BIH,52,18,1879,Stefanos Tsitsipas,14,Greece,GRE,16,-15,2052,6-3 6-3,,,
2018-10-22,Basel,A,3,H,true,56,QF,Daniil Medvedev,7,Russian Federation,RUS,20,10,2055,Stefanos Tsitsipas,4,Greece,GRE,16,-10,2062,6-4 3-6 6-3,,,
2018-10-22,Basel,A,3,H,true,56,R16,Stefanos Tsitsipas,4,Greece,GRE,16,6,2056,Peter Gojowczyk,,Germany,GER,60,-6,1908,6-3 6-1,,,
