date,tournament,level,bestOf,surface,indoor,speed,round,winner_name,winner_seed,winner_country_name,winner_country_id,winner_rank,winner_eloRatingDelta,winner_eloRating,loser_name,loser_seed,loser_country_name,loser_country_id,loser_rank,loser_eloRatingDelta,loser_eloRating,score,loser_entry,outcome,winner_entry
2018-06-18,Halle,A,3,G,false,85,R32,Stefanos Tsitsipas,,Greece,GRE,35,13,1920,Lucas Pouille,5,France,FRA,18,-11,2012,6-2 7-6(3),,,
2018-06-11,S-Hertogenbosch,B,3,G,false,78,QF,Richard Gasquet,2,France,FRA,30,6,2043,Stefanos Tsitsipas,5,Greece,GRE,37,-7,1927,7-6(2) 7-6(4),,,
2018-06-11,S-Hertogenbosch,B,3,G,false,78,R16,Stefanos Tsitsipas,5,Greece,GRE,37,9,1918,Malek Jaziri,,Tunisia,TUN,61,-9,1900,4-6 7-6(6) 6-2,,,
2018-06-11,S-Hertogenbosch,B,3,G,false,78,R32,Stefanos Tsitsipas,5,Greece,GRE,37,3,1915,John Patrick Smith,,Australia,AUS,196,-13,1592,3-6 6-3 6-4,LL,,
2018-05-28,Roland Garros,G,5,C,false,45,R64,Dominic Thiem,7,Austria,AUT,8,5,2133,Stefanos Tsitsipas,,Greece,GRE,39,-7,1922,6-2 2-6 6-4 6-4,,,
2018-05-28,Roland Garros,G,5,C,false,45,R128,Stefanos Tsitsipas,,Greece,GRE,39,8,1914,Carlos Taberner,,Spain,ESP,213,-14,1743,7-5 6-7(5) 6-4 6-3,,,
2018-05-14,Rome Masters,M,3,C,false,51,R32,Juan Martin Del Potro,5,Argentina,ARG,6,2,2262,Stefanos Tsitsipas,,Greece,GRE,43,-3,1917,7-5 6-3,Q,,
2018-05-14,Rome Masters,M,3,C,false,51,R64,Stefanos Tsitsipas,,Greece,GRE,43,15,1902,Borna Coric,,Croatia,CRO,40,-12,2023,4-1 RET,,RET,Q
2018-05-07,Madrid Masters,M,3,C,false,65,R64,Evgeny Donskoy,,Russian Federation,RUS,90,17,1820,Stefanos Tsitsipas,,Greece,GRE,40,-13,1915,5-7 6-4 7-6(3),WC,,Q
2018-04-30,Estoril,B,3,C,false,32,SF,Joao Sousa,,Portugal,POR,68,11,1914,Stefanos Tsitsipas,,Greece,GRE,44,-11,1926,6-4 1-6 7-6(4),,,
2018-04-30,Estoril,B,3,C,false,32,QF,Stefanos Tsitsipas,,Greece,GRE,44,7,1919,Roberto Carballes Baena,,Spain,ESP,77,-10,1831,6-7(2) 6-2 7-6(3),,,
2018-04-30,Estoril,B,3,C,false,32,R16,Stefanos Tsitsipas,,Greece,GRE,44,15,1904,Kevin Anderson,1,South Africa,RSA,8,-12,2085,6-7(3) 6-3 6-3,,,
2018-04-30,Estoril,B,3,C,false,32,R32,Stefanos Tsitsipas,,Greece,GRE,44,8,1896,Pablo Andujar,,Spain,ESP,132,-10,1851,7-6(2) 6-3,PR,,
2018-04-23,Barcelona,A,3,C,false,42,F,Rafael Nadal,1,Spain,ESP,1,1,2372,Stefanos Tsitsipas,,Greece,GRE,63,-1,1897,6-2 6-1,,,
2018-04-23,Barcelona,A,3,C,false,42,SF,Stefanos Tsitsipas,,Greece,GRE,63,17,1880,Pablo Carreno Busta,5,Spain,ESP,11,-15,2041,7-5 6-3,,,
2018-04-23,Barcelona,A,3,C,false,42,QF,Stefanos Tsitsipas,,Greece,GRE,63,20,1860,Dominic Thiem,3,Austria,AUT,7,-15,2113,6-3 6-2,,,
2018-04-23,Barcelona,A,3,C,false,42,R16,Stefanos Tsitsipas,,Greece,GRE,63,14,1846,Albert Ramos,10,Spain,ESP,40,-12,1909,6-4 7-5,,,
2018-04-23,Barcelona,A,3,C,false,42,R32,Stefanos Tsitsipas,,Greece,GRE,63,20,1826,Diego Sebastian Schwartzman,7,Argentina,ARG,17,-14,2035,6-2 6-1,,,
2018-04-23,Barcelona,A,3,C,false,42,R64,Stefanos Tsitsipas,,Greece,GRE,63,11,1815,Corentin Moutet,,France,FRA,137,-14,1772,6-4 6-1,Q,,
2018-04-16,Monte Carlo Masters,M,3,C,false,33,R32,David Goffin,6,Belgium,BEL,10,3,2137,Stefanos Tsitsipas,,Greece,GRE,71,-4,1819,7-6(4) 7-5,Q,,
2018-04-16,Monte Carlo Masters,M,3,C,false,33,R64,Stefanos Tsitsipas,,Greece,GRE,71,21,1798,Denis Shapovalov,,Canada,CAN,45,-14,1931,6-3 6-4,,,Q
